movie_title,release_date,genre,metascore
Kiki,24-Feb-17,Documentary,73
After the Life,13-Feb-04,"Drama,Crime",73
Mike Wallace Is Here,26-Jul-19,"Biography,Documentary",73
Little Feet,12-Dec-14,Drama,73
Breaker Morant,15-Oct-80,"Drama,History,War",72
Plagues and Pleasures on the Salton Sea,20-Apr-07,Documentary,72
Battle for Brooklyn,17-Jun-11,"Drama,Documentary",71
Koch,01-Feb-13,"Biography,History,Documentary",71
Bugsy Malone,15-Sep-76,"Comedy,Crime,Family,Musical",71
Letters from Baghdad,02-Jun-17,Documentary,71
Paint It Black,19-May-17,Drama,71
Tel Aviv on Fire,02-Aug-19,"Drama,Comedy,Romance",70
Better Living Through Circuitry,26-May-00,"Drama,Music,Documentary",70
Jason Becker: Not Dead Yet,14-Dec-12,"Biography,Music,Documentary",70
Beautiful Darling,22-Apr-11,Documentary,69
Rosenwald,14-Aug-15,"Biography,Documentary",67
It Came from Kuchar,09-Apr-10,"Comedy,Documentary",67
Guidance,21-Aug-15,Comedy,66
Littlerock,12-Aug-11,Drama,66
Harvest of Empire,28-Sep-12,"History,Documentary,News",66
The Swell Season,22-Apr-11,"Romance,Music,Documentary",65
"Faster, Pussycat! Kill! Kill!",06-Aug-65,"Action,Comedy",65
Fishing Without Nets,26-Sep-14,Thriller,65
Naz & Maalik,22-Jan-16,"Adventure,Drama,Comedy",65
Monsieur N.,21-Jan-05,"Biography,Drama,Mystery",65
Red Flag,22-Feb-13,"Comedy,Romance",65
Wolke Neun,28-Aug-09,"Drama,Romance",64
Sample This,13-Sep-13,Documentary,64
Wrestling with Angels: Playwright Tony Kushner,04-Oct-06,Documentary,64
The Almost Man,01-Aug-14,"Drama,Comedy",64
Coming Through The Rye,14-Oct-16,Drama,64
Enzo Avitabile Music Life,18-Oct-13,Documentary,64
We Are X,21-Oct-16,"Music,Documentary",64
Woman Is the Future of Man,03-Mar-06,Drama,63
The Caine Mutiny,24-Jun-54,"Drama,War",63
Rubble Kings,19-Jun-15,Documentary,62
Punching the Clown,22-Oct-10,Comedy,62
Stolen Childhoods,20-May-05,Documentary,62
Nearing Grace,13-Oct-06,Drama,62
Dreams Rewired,16-Dec-15,"History,Documentary,News",62
The Invisibles,25-Jan-19,"Biography,Drama,History,War",60
Len and Company,10-Jun-16,"Drama,Comedy",60
Go for Sisters,08-Nov-13,"Drama,Thriller,Crime",59
Follow Me: The Yoni Netanyahu Story,18-May-12,Documentary,58
Blossoms of Fire,20-Jan-06,Documentary,58
Defamation,20-Nov-09,Documentary,58
Pulling Strings,04-Oct-13,"Comedy,Romance",57
Rubberneck,22-Feb-13,"Drama,Thriller",57
Confetti,15-Sep-06,"Comedy,Romance",57
Shake Hands with the Devil,29-Oct-10,"Drama,History,War",57
Limelight,23-Sep-11,Documentary,57
"I, Olga Hepnarová",24-Mar-17,"Biography,Drama,Thriller,Crime",57
Sushi: The Global Catch,03-Aug-12,"History,Documentary,News",57
Sacrifice,27-Jul-12,"Drama,History",57
Tommy's Honour,14-Apr-17,"Biography,Drama,History,Sport,Romance",56
Greedy Lying Bastards,08-Mar-13,Documentary,56
The Driver,28-Jul-78,"Action,Thriller,Crime",56
3 Hearts,13-Mar-15,Drama,56
Spark: A Burning Man Story,16-Aug-13,"Action,Biography,Drama,Documentary",55
